Data Set 1:Time(s),Data Set 1:Temperature 1(°C),Data Set 1:Temperature 2(°C)
0.0,22.0,21.9
0.1,22.1,21.9
0.2,22.1,21.9
0.3,22.1,21.9
0.4,22.1,21.9
0.5,22.1,21.9
0.6,22.1,21.9
0.7,22.1,21.9
0.8,22.1,21.9
0.9,22.1,21.9
1.0,22.1,21.9
1.1,22.1,21.9
1.2,22.1,21.9
1.3,22.1,21.9
1.4,22.1,21.9
1.5,22.3,22.0
1.6,22.1,21.9
1.7,22.1,21.9
1.8,22.1,21.9
1.9,22.1,21.9
2.0,22.1,21.9
2.1,22.1,21.9
2.2,22.1,21.9
2.3,22.1,21.9
2.4,22.1,21.9
2.5,22.1,21.9
2.6,22.1,21.9
2.7,22.1,21.9
2.8,22.1,21.9
2.9,22.1,21.9
3.0,22.1,21.9
3.1,22.1,21.9
3.2,22.1,21.9
3.3,22.1,21.9
3.4,22.1,21.9
3.5,22.1,21.9
3.6,22.3,22.1
3.7,22.1,21.9
3.8,22.3,22.1
3.9,22.1,22.0
4.0,22.1,22.0
4.1,22.1,22.2
4.2,22.3,22.2
4.3,22.3,22.2
4.4,22.3,22.3
4.5,22.4,22.3
4.6,22.6,22.3
4.7,22.7,22.4
4.8,22.7,22.5
4.9,22.7,22.5
5.0,22.9,22.6
5.1,23.0,22.7
5.2,23.1,22.7
5.3,23.2,22.7
5.4,23.2,22.7
5.5,23.2,22.8
5.6,23.3,22.9
5.7,23.4,22.9
5.8,23.4,22.9
5.9,23.5,23.0
6.0,23.6,23.0
6.1,23.7,23.2
6.2,23.6,23.1
6.3,23.7,23.3
6.4,23.8,23.3
6.5,23.8,23.3
6.6,23.8,23.3
6.7,23.9,23.4
6.8,24.0,23.4
6.9,23.9,23.4
7.0,24.0,23.4
7.1,24.0,23.6
7.2,24.1,23.6
7.3,24.1,23.6
7.4,24.2,23.7
7.5,24.2,23.8
7.6,24.2,23.8
7.7,24.2,23.8
7.8,24.2,23.8
7.9,24.2,23.9
8.0,24.2,23.9
8.1,24.2,23.9
8.2,24.2,23.9
8.3,24.3,23.9
8.4,24.3,24.0
8.5,24.3,24.0
8.6,24.3,24.0
8.7,24.3,24.1
8.8,24.4,24.1
8.9,24.5,24.1
9.0,24.4,24.1
9.1,24.5,24.2
9.2,24.5,24.2
9.3,24.5,24.2
9.4,24.5,24.2
9.5,24.8,24.4
9.6,24.9,24.5
9.7,24.6,24.4
9.8,24.6,24.4
9.9,24.7,24.4
10.0,24.6,24.4
10.1,24.6,24.4
10.2,24.6,24.4
10.3,24.7,24.5
10.4,24.7,24.5
10.5,24.7,24.5
10.6,24.7,24.5
10.7,24.7,24.7
10.8,24.7,24.6
10.9,24.7,24.6
11.0,24.8,24.7
11.1,24.8,24.7
11.2,24.8,24.7
11.3,24.8,24.8
11.4,24.8,24.8
11.5,24.8,24.7
11.6,24.9,24.8
11.7,24.9,24.8
11.8,25.3,24.9
11.9,24.9,24.8
12.0,25.3,24.9
12.1,25.3,24.9
12.2,24.8,24.8
12.3,25.0,24.8
12.4,25.1,24.8
12.5,24.9,24.8
12.6,24.9,24.8
12.7,25.0,24.8
12.8,25.1,24.8
12.9,24.9,24.8
13.0,25.1,24.8
13.1,25.1,24.8
13.2,25.3,25.1
13.3,25.1,24.9
13.4,25.1,24.9
13.5,25.3,25.1
13.6,25.1,24.9
13.7,25.2,25.0
13.8,25.2,24.9
13.9,25.1,24.9
14.0,25.2,24.9
14.1,25.2,24.9
14.2,25.1,25.1
14.3,25.1,25.0
14.4,25.2,25.1
14.5,25.3,25.1
14.6,25.3,25.2
14.7,25.3,25.1
14.8,25.2,25.1
14.9,25.2,25.1
15.0,25.2,25.1
15.1,25.4,25.2
15.2,25.3,25.1
15.3,25.3,25.1
15.4,25.2,25.1
15.5,25.3,25.1
15.6,25.3,25.2
15.7,25.3,25.1
15.8,25.2,25.1
15.9,25.3,25.1
16.0,25.3,25.2
16.1,25.3,25.2
16.2,25.3,25.1
16.3,25.3,25.1
16.4,25.3,25.2
16.5,25.3,25.2
16.6,25.3,25.2
16.7,25.3,25.2
16.8,25.3,25.2
16.9,25.6,25.4
17.0,25.3,25.2
17.1,25.3,25.2
17.2,25.3,25.2
17.3,25.3,25.2
17.4,25.3,25.2
17.5,25.3,25.2
17.6,25.3,25.3
17.7,25.6,25.4
17.8,25.3,25.2
17.9,25.3,25.2
18.0,25.3,25.3
18.1,25.3,25.3
18.2,25.3,25.2
18.3,25.3,25.2
18.4,25.3,25.3
18.5,25.3,25.2
18.6,25.3,25.2
18.7,25.3,25.3
18.8,25.3,25.2
18.9,25.3,25.2
19.0,25.3,25.2
19.1,25.3,25.3
19.2,25.3,25.3
19.3,25.3,25.2
19.4,25.3,25.2
19.5,25.6,25.4
19.6,25.3,25.3
19.7,25.3,25.3
19.8,25.3,25.3
19.9,25.3,25.3
20.0,25.3,25.3
20.1,25.3,25.4
20.2,25.3,25.3
20.3,25.3,25.3
20.4,25.6,25.5
20.5,25.3,25.3
20.6,25.3,25.3
20.7,25.3,25.3
20.8,25.6,25.7
20.9,25.3,25.3
21.0,25.3,25.3
21.1,25.3,25.3
21.2,25.3,25.3
21.3,25.3,25.3
21.4,25.3,25.3
21.5,25.4,25.4
21.6,25.3,25.3
21.7,25.3,25.3
21.8,25.3,25.3
21.9,25.3,25.4
22.0,25.3,25.4
22.1,25.3,25.3
22.2,25.3,25.3
22.3,25.3,25.4
22.4,25.6,25.7
22.5,25.3,25.4
22.6,25.3,25.3
22.7,25.3,25.4
22.8,25.3,25.4
22.9,25.3,25.4
23.0,25.3,25.3
23.1,25.3,25.4
